module_name,scoh,scop,odd,idd,DSM,class_name,c_chm,c_chd,CBC,IDCC,IODD,IIDD,EDCC,c_FAN_IN,c_FAN_OUT,NAC,NDC,NOP,NOI,NOID,RFC,NOSI,CTM,NOM,NOVM,CIS,privateMethodsQty,protectedMethodsQty,staticMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,TCC,LCC,LCOM,LCOM*,WMC,c_variablesQty,NOF,publicFieldsQty,privateFieldsQty,protectedFieldsQty,staticFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,c_modifiers
com.networknt.audit,0.25,0.2173,0.0794,0.0,4,com.networknt.audit.AuditConfig,0.5875,0.2646,4,3,0,3,1,3,1,1,0,0,0,0,8,1,2,16,12,0,4,0,1,12,0,0,0,0.8333333333333334,0.8333333333333334,102,0.9044117647058824,16,17,17,0,16,0,8,1,9,0,0
com.networknt.audit,0.25,0.2173,0.0794,0.0,4,com.networknt.audit.AuditHandler,0.6389,0.2648,6,2,1,1,4,1,5,1,0,0,2,0,17,4,15,9,7,6,2,1,0,0,0,0,0,1.0,1.0,0,0.8148148148148149,9,9,9,2,2,0,7,5,7,0,1
com.networknt.audit,0.25,0.2173,0.0794,0.0,4,com.networknt.audit.AuditHandlerTest,0.9167,0.3194,6,2,2,0,4,0,6,1,0,0,0,0,13,3,11,12,11,10,1,0,3,1,0,0,0,1.0,1.0,48,0.8333333333333334,12,6,6,0,0,0,2,3,1,0,1
com.networknt.audit,0.25,0.2173,0.0794,0.0,4,com.networknt.audit.AuditConfigTest,0.8333,0.3056,2,1,1,0,1,0,2,1,0,0,0,0,13,2,12,6,5,5,1,0,0,0,0,0,0,0.0,0.0,15,0,6,0,0,0,0,0,0,0,0,0,1
com.networknt,0.25,0.1667,0.0317,0.0,2,com.networknt.HttpClientUtils,0.6000,0.3600,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,5,4,4,1,0,4,0,0,0,0,0.0,0.0,10,0,5,0,0,0,0,0,0,0,0,0,1
com.networknt,0.25,0.1667,0.0317,0.0,2,com.networknt.EncodeDecodeHandlerTest,1.0000,0.3333,3,1,1,0,2,0,3,1,0,0,0,0,5,2,4,5,5,5,0,0,2,0,0,0,0,0.3,0.3,8,0.7333333333333334,5,3,3,0,0,0,3,3,1,0,1
com.networknt.balance,0.0278,0.0833,0.0159,0.0,6,com.networknt.balance.ConsitentHashLoadBalanceTest,1.0000,1.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1.0,1,1,1,0,0,0,0,1,0,0,1
com.networknt.balance,0.0278,0.0833,0.0159,0.0,6,com.networknt.balance.RoundRobinLoadBalance,0.3333,0.1333,1,1,0,1,0,1,0,1,1,0,0,0,3,0,1,4,3,2,1,1,0,0,0,0,0,1.0,1.0,6,0.75,4,2,2,0,1,0,1,1,0,0,1
com.networknt.balance,0.0278,0.0833,0.0159,0.0,6,com.networknt.balance.RoundRobinLoadBalanceTest,1.0000,0.3333,1,0,0,0,1,0,1,1,0,0,0,0,3,1,3,3,3,3,0,0,0,0,0,0,0,1.0,1.0,1,0.3333333333333333,3,1,1,0,0,0,0,1,0,0,1
com.networknt.balance,0.0278,0.0833,0.0159,0.0,6,com.networknt.balance.ConsistentHashLoadBalance,0.5833,0.2500,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,4,2,2,2,0,0,0,0,0,0,1.0,1.0,6,0.75,4,1,1,0,0,0,1,1,0,0,1
