module_name,scoh,scop,odd,idd,DSM,class_name,c_chm,c_chd,CBC,IDCC,IODD,IIDD,EDCC,c_FAN_IN,c_FAN_OUT,NAC,NDC,NOP,NOI,NOID,RFC,NOSI,CTM,NOM,NOVM,CIS,privateMethodsQty,protectedMethodsQty,staticMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,TCC,LCC,LCOM,LCOM*,WMC,c_variablesQty,NOF,publicFieldsQty,privateFieldsQty,protectedFieldsQty,staticFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,c_modifiers
com.ctrip.framework.apollo.adminservice,0.0,0.0093,0.0141,0.0,2,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.ctrip.framework.apollo.adminservice,0.0,0.0093,0.0141,0.0,2,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,0.5000,0.2000,1,0,0,0,1,0,1,1,0,0,0,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.ConfigServiceTest,1.0000,0.3333,1,1,1,0,0,0,1,1,0,0,0,0,9,6,9,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,0,0,0,1
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.LocalConfigServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.LocalAdminServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.BaseIntegrationTest,0.5714,0.2333,4,1,1,0,3,1,3,1,1,0,1,0,6,2,5,8,8,3,0,5,1,0,0,0,0,0,0,0,0,8,12,12,0,6,6,10,0,5,0,0
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.LocalPortalApplication,1.0000,1.0000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
com.ctrip.framework.apollo,0.0556,0.3278,0.0423,0.0282,6,com.ctrip.framework.apollo.ConfigService,0.5091,0.2761,5,2,0,2,3,4,1,1,0,0,4,0,9,1,4,11,8,3,3,0,10,5,0,0,0,0,0,0,0,11,2,2,0,2,0,1,0,1,0,1
com.ctrip.framework.apollo.adminservice.aop,0.25,0.3595,0.0704,0.0,2,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,0.8889,0.4606,10,1,0,1,9,1,9,1,0,0,0,0,16,0,13,9,6,4,3,0,0,2,0,0,0,0,0,0,0,9,5,5,0,5,0,1,0,1,0,1
com.ctrip.framework.apollo.adminservice.aop,0.25,0.3595,0.0704,0.0,2,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockTest,0.7679,0.2929,7,1,1,0,6,0,7,1,0,0,1,0,13,0,11,8,6,6,2,0,0,0,0,0,0,0,0,0,0,8,11,11,0,10,0,6,0,6,0,1
com.ctrip.framework.apollo.adminservice.controller,0.0165,0.2159,0.0986,0.0,22,com.ctrip.framework.apollo.adminservice.controller.ReleaseController,0.6607,0.3089,9,1,0,1,8,1,8,1,0,0,0,0,20,3,20,8,8,8,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,5,0,1,0,1,0,1
com.ctrip.framework.apollo.adminservice.controller,0.0165,0.2159,0.0986,0.0,22,com.ctrip.framework.apollo.adminservice.controller.ItemSetControllerTest,1.0000,0.3333,9,1,1,0,8,0,9,2,0,0,1,0,18,0,18,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,0.0165,0.2159,0.0986,0.0,22,com.ctrip.framework.apollo.adminservice.controller.ItemController,0.7000,0.3700,10,0,0,0,10,0,10,1,0,0,0,0,31,2,31,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,0,0,0,0,0,1
