module_name,class_name,method_name,startLine,CBM,IDMC,EDMC,m_FAN_IN,m_FAN_OUT,IsOverride,OverridedQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifiers
com.ctrip.framework.apollo.adminservice,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,27,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo.adminservice,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,26,1,0,1,0,1,False,0,1,0,0,0,0,2
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalPortalApplication,com.ctrip.framework.apollo.LocalPortalApplication,8,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.ConfigServiceTest,com.ctrip.framework.apollo.ConfigServiceTest,69,1,1,0,0,1,False,0,3,0,0,0,0,1
com.ctrip.framework.apollo,com.ctrip.framework.apollo.ConfigService,com.ctrip.framework.apollo.ConfigService,86,3,1,2,3,0,False,0,2,1,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalAdminServiceApplication,com.ctrip.framework.apollo.LocalAdminServiceApplication,10,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.BaseIntegrationTest,com.ctrip.framework.apollo.BaseIntegrationTest,136,1,0,1,1,0,False,0,0,0,0,0,0,4
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalConfigServiceApplication,com.ctrip.framework.apollo.LocalConfigServiceApplication,10,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo.adminservice.aop,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,46,1,0,1,0,1,False,0,2,1,0,0,0,1
com.ctrip.framework.apollo.adminservice.aop,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockTest,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockTest,142,2,0,2,0,2,False,0,2,0,0,0,0,2
com.ctrip.framework.apollo.openapi.util,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtil,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtil,87,1,1,0,1,0,False,0,0,0,0,0,0,1
com.ctrip.framework.apollo.openapi.util,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtilTest,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtilTest,55,2,1,1,0,2,False,0,4,0,0,0,0,1
com.ctrip.framework.apollo.openapi.util,com.ctrip.framework.apollo.openapi.util.OpenApiBeanUtils,com.ctrip.framework.apollo.openapi.util.OpenApiBeanUtils,91,3,0,3,1,2,False,0,4,0,0,0,0,0
com.ctrip.framework.apollo.openapi.util,com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtil,com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtil,27,2,1,1,2,0,False,0,0,0,0,0,0,1
com.ctrip.framework.apollo.openapi.util,com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtilTest,com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtilTest,47,1,1,0,0,1,False,0,1,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigControllerTest,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigControllerTest,344,1,0,1,0,1,False,0,6,0,0,0,0,2
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.CommitController,com.ctrip.framework.apollo.adminservice.controller.CommitController,24,2,0,2,0,2,False,0,2,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ItemController,com.ctrip.framework.apollo.adminservice.controller.ItemController,65,8,0,8,0,8,False,0,19,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.AppController,com.ctrip.framework.apollo.adminservice.controller.AppController,80,1,0,1,0,1,False,0,1,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.TestWebSecurityConfig,com.ctrip.framework.apollo.adminservice.controller.TestWebSecurityConfig,24,0,0,0,0,0,False,0,0,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.NamespaceController,com.ctrip.framework.apollo.adminservice.controller.NamespaceController,64,2,0,2,0,2,False,0,2,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ClusterController,com.ctrip.framework.apollo.adminservice.controller.ClusterController,67,2,0,2,0,2,False,0,2,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.NamespaceLockController,com.ctrip.framework.apollo.adminservice.controller.NamespaceLockController,29,5,0,5,0,5,False,0,5,0,0,0,0,1
